Name,Post feito?,Postado?,Slide feito,"Ordem de apresentação "
Maria Nathália Moraes,Yes,Yes,No,1
" Marco Túlio de Mello",Yes,Yes,No,2
Cleiton Lopes Aguiar,Yes,Yes,No,3
Guilherme Santos,Yes,Yes,No,4
Vinicius de Toledo Ribas,Yes,Yes,No,5
Márcia Guimarães,Yes,Yes,No,6
Pedro Brandão Belisário,Yes,Yes,No,7
Laura Nequini de Faria,Yes,Yes,No,8
Bruno Rezende de Souza,Yes,Yes,No,9
Ricardo Guimarães,Yes,Yes,No,10
Pedro Vieira,Yes,Yes,No,11
Bruss Lima,Yes,Yes,No,12
Sergio Neuenschwander,Yes,Yes,No,13
Gustavo Rohenkohl,Yes,Yes,No,14
Ricardo Guimarães,Yes,Yes,No,15
 Priscila de Cássia Souza Araújo,Yes,Yes,No,16
Letícia Carvalho Boratto,Yes,Yes,No,17
Italo Moreira Martins,Yes,Yes,No,18
Clara Massote Pidner,Yes,Yes,No,19
Theo Mota,Yes,Yes,No,20
